N-1 --> N,Probability,x,experiment
high awareness and high confidence --> high success,0.29081632653061223,0,pos
high awareness and high confidence --> high success,0.3945578231292517,0,pos
high awareness and high confidence --> high success,0.20068027210884354,0,pos
high awareness and high confidence --> high success,0.09693877551020408,0,pos
high awareness and high confidence --> high success,0.413265306122449,0,pos
high awareness and high confidence --> high success,0.1717687074829932,0,pos
high awareness and high confidence --> high success,0.30612244897959184,0,pos
high awareness and high confidence --> high success,0.12244897959183673,0,pos
high awareness and high confidence --> high success,0.0935374149659864,0,pos
high awareness and high confidence --> high success,0.16326530612244897,0,pos
high awareness and high confidence --> high success,0.2857142857142857,0,pos
high awareness and high confidence --> high success,0.20918367346938777,0,pos
high awareness and low confidence --> high success,0.1649659863945578,0,pos
high awareness and low confidence --> high success,0.04421768707482993,0,pos
high awareness and low confidence --> high success,0.0935374149659864,0,pos
high awareness and low confidence --> high success,0.08333333333333333,0,pos
high awareness and low confidence --> high success,0.02040816326530612,0,pos
high awareness and low confidence --> high success,0.1598639455782313,0,pos
high awareness and low confidence --> high success,0.04421768707482993,0,pos
high awareness and low confidence --> high success,0.011904761904761904,0,pos
high awareness and low confidence --> high success,0.07653061224489796,0,pos
high awareness and low confidence --> high success,0.12585034013605442,0,pos
high awareness and low confidence --> high success,0.02040816326530612,0,pos
high awareness and low confidence --> high success,0.14285714285714285,0,pos
high awareness and low confidence --> high success,0.17006802721088435,0,pos
high awareness and low confidence --> high success,0.05952380952380952,0,pos
high awareness and low confidence --> high success,0.13945578231292516,0,pos
low awareness and low confidence --> high success,0.06972789115646258,0,pos
low awareness and low confidence --> high success,0.01020408163265306,0,pos
low awareness and low confidence --> high success,0.1360544217687075,0,pos
low awareness and low confidence --> high success,0.15476190476190477,0,pos
low awareness and low confidence --> high success,0.025510204081632654,0,pos
low awareness and low confidence --> high success,0.06292517006802721,0,pos
low awareness and low confidence --> high success,0.13945578231292516,0,pos
low awareness and low confidence --> high success,0.06972789115646258,0,pos
low awareness and low confidence --> high success,0.03231292517006803,0,pos
low awareness and low confidence --> high success,0.03741496598639456,0,pos
low awareness and low confidence --> high success,0.07482993197278912,0,pos
low awareness and low confidence --> high success,0.21428571428571427,0,pos
low awareness and low confidence --> high success,0.10884353741496598,0,pos
low awareness and low confidence --> high success,0.1377551020408163,0,pos
low awareness and low confidence --> high success,0.18027210884353742,0,pos
low awareness and high confidence --> high success,0.025510204081632654,0,pos
low awareness and high confidence --> high success,0.022108843537414966,0,pos
low awareness and high confidence --> high success,0.06972789115646258,0,pos
low awareness and high confidence --> high success,0.1377551020408163,0,pos
low awareness and high confidence --> high success,0.01870748299319728,0,pos
low awareness and high confidence --> high success,0.12244897959183673,0,pos
low awareness and high confidence --> high success,0.08163265306122448,0,pos
low awareness and high confidence --> high success,0.28741496598639454,0,pos
low awareness and high confidence --> high success,0.027210884353741496,0,pos
low awareness and high confidence --> high success,0.025510204081632654,0,pos
low awareness and high confidence --> high success,0.22448979591836735,0,pos
low awareness and high confidence --> high success,0.23129251700680273,0,pos
low awareness and high confidence --> high success,0.10714285714285714,0,pos
low awareness and high confidence --> high success,0.05272108843537415,0,pos
low awareness and high confidence --> high success,0.15136054421768708,0,pos
