N-1 --> N,Probability,x,experiment
low awareness and low confidence --> low attention,0.28061224489795916,0,att
low awareness and low confidence --> low attention,0.10714285714285714,0,att
low awareness and low confidence --> low attention,0.15136054421768708,0,att
low awareness and low confidence --> low attention,0.1989795918367347,0,att
low awareness and low confidence --> low attention,0.24149659863945577,0,att
low awareness and low confidence --> low attention,0.1445578231292517,0,att
low awareness and low confidence --> low attention,0.1326530612244898,0,att
low awareness and low confidence --> low attention,0.15476190476190477,0,att
low awareness and low confidence --> low attention,0.09644670050761421,0,att
low awareness and low confidence --> low attention,0.14795918367346939,0,att
low awareness and low confidence --> low attention,0.17857142857142858,0,att
low awareness and low confidence --> low attention,0.2585034013605442,0,att
low awareness and low confidence --> low attention,0.1836734693877551,0,att
high awareness and high confidence --> high attention,0.37244897959183676,0,att
high awareness and high confidence --> high attention,0.22959183673469388,0,att
high awareness and high confidence --> high attention,0.07993197278911565,0,att
high awareness and high confidence --> high attention,0.10034013605442177,0,att
high awareness and high confidence --> high attention,0.20578231292517007,0,att
high awareness and high confidence --> high attention,0.2568027210884354,0,att
high awareness and high confidence --> high attention,0.25170068027210885,0,att
high awareness and high confidence --> high attention,0.10204081632653061,0,att
high awareness and high confidence --> high attention,0.1683673469387755,0,att
high awareness and high confidence --> high attention,0.08333333333333333,0,att
high awareness and high confidence --> high attention,0.0935374149659864,0,att
high awareness and high confidence --> high attention,0.15228426395939088,0,att
high awareness and high confidence --> high attention,0.12244897959183673,0,att
high awareness and high confidence --> high attention,0.05612244897959184,0,att
high awareness and high confidence --> high attention,0.13945578231292516,0,att
high awareness and high confidence --> high attention,0.18027210884353742,0,att
high awareness and high confidence --> low attention,0.23129251700680273,0,att
high awareness and high confidence --> low attention,0.11394557823129252,0,att
high awareness and high confidence --> low attention,0.03571428571428571,0,att
high awareness and high confidence --> low attention,0.07993197278911565,0,att
high awareness and high confidence --> low attention,0.22959183673469388,0,att
high awareness and high confidence --> low attention,0.10374149659863946,0,att
high awareness and high confidence --> low attention,0.07653061224489796,0,att
high awareness and high confidence --> low attention,0.1377551020408163,0,att
high awareness and high confidence --> low attention,0.12414965986394558,0,att
high awareness and high confidence --> low attention,0.08843537414965986,0,att
high awareness and high confidence --> low attention,0.08843537414965986,0,att
high awareness and high confidence --> low attention,0.17258883248730963,0,att
high awareness and high confidence --> low attention,0.12755102040816327,0,att
high awareness and high confidence --> low attention,0.09523809523809523,0,att
high awareness and high confidence --> low attention,0.12414965986394558,0,att
high awareness and high confidence --> low attention,0.15816326530612246,0,att
low awareness and high confidence --> high attention,0.008503401360544218,0,att
low awareness and high confidence --> high attention,0.10034013605442177,0,att
low awareness and high confidence --> high attention,0.023809523809523808,0,att
low awareness and high confidence --> high attention,0.14625850340136054,0,att
low awareness and high confidence --> high attention,0.15306122448979592,0,att
low awareness and high confidence --> high attention,0.06462585034013606,0,att
low awareness and high confidence --> high attention,0.1649659863945578,0,att
low awareness and high confidence --> high attention,0.07482993197278912,0,att
low awareness and high confidence --> high attention,0.08503401360544217,0,att
low awareness and high confidence --> high attention,0.2585034013605442,0,att
low awareness and high confidence --> high attention,0.2227891156462585,0,att
low awareness and high confidence --> high attention,0.14720812182741116,0,att
low awareness and high confidence --> high attention,0.12755102040816327,0,att
low awareness and high confidence --> high attention,0.07312925170068027,0,att
low awareness and high confidence --> high attention,0.08333333333333333,0,att
low awareness and high confidence --> high attention,0.07142857142857142,0,att
